Museum Name,Museum Type,Latitude,Longitude,Income,Revenue,State
ALABAMA FOLK ART MUSEUM,ART MUSEUM,33.51275,-86.80921,0.0,0.0,AL
ALABAMA GOSPEL MUSIC CULTURAL ARTS CENTER,HISTORIC PRESERVATION,33.5115,-86.84821,21884.0,21884.0,AL
ALABAMA GOVERNORS MANSION,HISTORIC PRESERVATION,32.36426,-86.3031,0.0,0.0,AL
ALABAMA HISTORIC IRONWORKS COMMISSION,HISTORIC PRESERVATION,33.26851,-87.08321,1748733.0,1642172.0,AL
ALABAMA HISTORICAL RADIO SOCIETY,HISTORIC PRESERVATION,33.51784,-86.81185,0.0,0.0,AL
ALABAMA HUMANITIES FOUNDATION,GENERAL MUSEUM,33.50116,-86.79191,0.0,0.0,AL
ALABAMA INDIAN AFFAIRS COMMISSION,GENERAL MUSEUM,32.36698,-86.3057,0.0,0.0,AL
ALABAMA JAZZ HALL OF FAME,GENERAL MUSEUM,33.51458,-86.81283,369221.0,368247.0,AL
ALABAMA JUDICIAL DEPARTMENT MUSEUM,GENERAL MUSEUM,32.37744,-86.30496,0.0,0.0,AL
ALABAMA LABOR ARCHIVES AND HISTORY,HISTORY MUSEUM,32.37285,-86.30467,0.0,0.0,AL
ALABAMA LIGHTHOUSE ASSOCIATION,HISTORIC PRESERVATION,30.69651,-88.04401,0.0,0.0,AL
ALABAMA MENS HALL OF FAME,GENERAL MUSEUM,33.46411,-86.78814,7618.0,7618.0,AL
ALABAMA MINING MUSEUM,HISTORY MUSEUM,33.73169,-87.09091,62187.0,62187.0,AL
ALABAMA MUSEUM OF NATURAL HISTORY,NATURAL HISTORY MUSEUM,33.20939,-87.54843,0.0,0.0,AL
ALABAMA MUSEUM OF THE HEALTH SCIENCES,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,33.50142,-86.80725,0.0,0.0,AL
ALABAMA MUSIC HALL OF FAME,GENERAL MUSEUM,34.71624,-87.69496,0.0,0.0,AL
ALABAMA NATIONAL GUARD HISTORICAL SOCIETY,HISTORIC PRESERVATION,33.56265,-86.7397,0.0,0.0,AL
ALABAMA NEGRO LEAGUE BASEBALL MUSEUM FOUNDATION,GENERAL MUSEUM,33.51634,-86.80581,0.0,0.0,AL
ALABAMA RIVER REGION ARTS CENTER,ART MUSEUM,32.59985,-86.20616,0.0,0.0,AL
ALABAMA RURAL HERITAGE CENTER,GENERAL MUSEUM,32.25179,-87.61395,0.0,0.0,AL
ALABAMA SPORTS HALL OF FAME,GENERAL MUSEUM,33.52522,-86.81047,586834.0,488198.0,AL
ALABAMA TRAIL OF TEARS CORRIDOR ASSOCIATION,HISTORIC PRESERVATION,34.7084,-86.61731,0.0,0.0,AL
ALABAMA TRUST FOR HISTORIC PRESERVATION,HISTORIC PRESERVATION,32.56319,-88.13818,118576.0,118576.0,AL
ALABAMA VETERANS MUSEUM & ARCHIVES,HISTORY MUSEUM,34.80672,-86.97072,126728.0,118567.0,AL
ALABAMA WILDLIFE CENTER,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",33.32452,-86.79516,463192.0,440703.0,AL
